
;; (time (lisa-user::run-mab 500))

Evaluation took:
  3.297 seconds of real time
  1.777990 seconds of total run time (1.749742 user, 0.028248 system)
  [ Real times consist of 0.082 seconds GC time, and 3.215 seconds non-GC time. ]
  [ Run times consist of 0.082 seconds GC time, and 1.696 seconds non-GC time. ]
  53.93% CPU
  314 lambdas converted
  2,348,043,312 bytes consed

;; SBCL's deterministic profiler results (500 iterations) on MacOS with Apple
;; silicon (ARM64 M2 Pro):

measuring PROFILE overhead..done
  seconds  |     gc     |     consed     |    calls   |  sec/call  |  name  
     0.000 |      0.000 |     12,973,024 |    500,000 |   0.000000 | LISA::ACTIVATION-RULE
     0.000 |      0.004 |    189,643,408 |    555,500 |   0.000000 | LISA::COMBINE-TOKENS
     0.000 |      0.012 |    212,577,376 |    344,000 |   0.000000 | LISA::MAKE-REMOVE-TOKEN
     0.000 |      0.004 |     53,270,736 |     67,500 |   0.000000 | LISA::INSERT-ACTIVATION
     0.000 |      0.002 |    225,946,048 |    746,500 |   0.000000 | LISA::ADD-TOKEN-TO-RIGHT-MEMORY
     0.000 |      0.000 |     27,061,488 |    138,000 |   0.000000 | LISA::FIND-ACTIVATION-BINDING
     0.000 |      0.000 |        786,336 |     58,000 |   0.000000 | LISA::ADD-FACT-TO-NETWORK
     0.000 |      0.000 |     40,825,472 |    290,000 |   0.000000 | LISA::REMOVE-TOKENS-FROM-LEFT-MEMORY
     0.000 |      0.000 |        196,048 |        500 |   0.000000 | LISA::ASSERT-AUTOFACTS
     0.000 |      0.000 |        196,560 |     27,000 |   0.000000 | LISA::DISABLE-ACTIVATION
     0.000 |      0.000 |      6,421,008 |     68,000 |   0.000000 | LISA::NEXT-ACTIVATION
     0.000 |      0.000 |      6,420,960 |     40,500 |   0.000000 | LISA::ACTIVATION-TOKENS
     0.000 |      0.006 |    313,685,056 |  1,382,500 |   0.000000 | LISA::TEST-AGAINST-LEFT-MEMORY
     0.000 |      0.084 |  2,289,157,088 |  2,368,000 |   0.000000 | LISA::REPLICATE-TOKEN
     0.000 |      0.000 |              0 |      1,000 |   0.000000 | (SETF LISA::RETE-HALTED)
     0.000 |      0.000 |    105,568,512 |    108,000 |   0.000000 | LISA::ADD-TOKEN-TO-NETWORK
     0.000 |      0.000 |     35,086,832 |     58,000 |   0.000000 | LISA::ADJUST-BELIEF
     0.000 |      0.002 |     13,433,136 |    558,000 |   0.000000 | LISA::FACT-CLOS-INSTANCE
     0.000 |      0.000 |        130,880 |        500 |   0.000000 | LISA::RESET-ENGINE
     0.000 |      0.000 |      6,488,000 |     58,000 |   0.000000 | LISA::DUPLICATE-FACT-P
     0.000 |      0.000 |      8,715,312 |     58,000 |   0.000000 | LISA::ASSERT-FACT-AUX
     0.000 |      0.000 |     64,022,288 |        500 |   0.000000 | LISA::RUN-ENGINE
     0.000 |      0.000 |        131,056 |     21,000 |   0.000000 | LISA::RULE-LOGICAL-MARKER
     0.000 |      0.002 |     33,045,696 |     28,500 |   0.000000 | LISA::MAKE-FACT
     0.000 |      0.002 |     27,521,744 |  1,535,500 |   0.000000 | LISA::SHARED-NODE-SUCCESSORS
     0.000 |      0.000 |              0 |        500 |   0.000000 | LISA::RESET-NETWORK
     0.000 |      0.000 |              0 |        500 |   0.000000 | LISA::SET-INITIAL-STATE
     0.000 |      0.000 |              0 |        500 |   0.000000 | LISA::CLEAR-CONTEXTS
     0.000 |      0.006 |    287,802,128 |  1,419,500 |   0.000000 | LISA::ACCEPT-TOKEN-FROM-RIGHT
     0.000 |      0.000 |         65,520 |    107,500 |   0.000000 | LISA::FACT-SHADOWSP
     0.000 |      0.000 |              0 |     40,500 |   0.000000 | LISA::RETE-FIRING-COUNT
     0.000 |      0.000 |              0 |     41,000 |   0.000000 | (SETF LISA::RETE-FIRING-COUNT)
     0.000 |      0.000 |     26,014,848 |    247,000 |   0.000000 | LISA::PASS-TOKENS-ON-LEFT
