
;; (time (lisa-user::run-mab 500))

Evaluation took:
  3.086 seconds of real time
  1.756481 seconds of total run time (1.722465 user, 0.034016 system)
  [ Real times consist of 0.093 seconds GC time, and 2.993 seconds non-GC time. ]
  [ Run times consist of 0.093 seconds GC time, and 1.664 seconds non-GC time. ]
  56.90% CPU
  314 lambdas converted
  2,348,421,120 bytes consed

;; SBCL's deterministic profiler results (500 iterations) on MacOS with Apple
;; silicon (ARM64 M2 Pro):

measuring PROFILE overhead..done
  seconds  |     gc     |     consed     |    calls   |  sec/call  |  name  
     0.000 |      0.002 |      9,043,520 |     67,500 |   0.000000 | LISA::UNBIND-RULE-ACTIVATION
     0.000 |      0.004 |    163,432,896 |  1,419,500 |   0.000000 | LISA::PASS-TOKEN-ON-RIGHT
     0.000 |      0.000 |              0 |      1,000 |   0.000000 | LISA::INITIAL-CONTEXT
     0.000 |      0.000 |      5,045,056 |    136,000 |   0.000000 | LISA::CONTEXT-STRATEGY
     0.000 |      0.022 |    110,413,360 |  4,221,500 |   0.000000 | LISA::SUCCESSOR-CONNECTOR
     0.000 |      0.000 |     23,196,368 |    500,000 |   0.000000 | LISA::ACTIVATION-RULE
     0.000 |      0.024 |    143,701,088 |  4,221,500 |   0.000000 | LISA::SUCCESSOR-NODE
     0.000 |      0.000 |     68,544,624 |     67,500 |   0.000000 | LISA::INSERT-ACTIVATION
     0.000 |      0.002 |     20,247,568 |    592,500 |   0.000000 | LISA::JOIN-NODE-SUCCESSOR
     0.000 |      0.006 |    168,812,848 |    746,500 |   0.000000 | LISA::ADD-TOKEN-TO-RIGHT-MEMORY
     0.000 |      0.000 |     22,081,536 |    138,000 |   0.000000 | LISA::FIND-ACTIVATION-BINDING
     0.000 |      0.000 |     14,743,248 |     58,000 |   0.000000 | LISA::ADD-FACT-TO-NETWORK
     0.000 |      0.000 |     51,180,432 |    290,000 |   0.000000 | LISA::REMOVE-TOKENS-FROM-LEFT-MEMORY
     0.000 |      0.000 |      2,489,760 |        500 |   0.000000 | LISA::ASSERT-AUTOFACTS
     0.000 |      0.000 |      2,228,272 |     27,000 |   0.000000 | LISA::DISABLE-ACTIVATION
     0.000 |      0.000 |     14,352,048 |     68,000 |   0.000000 | LISA::NEXT-ACTIVATION
     0.000 |      0.000 |      2,293,760 |     40,500 |   0.000000 | LISA::ACTIVATION-TOKENS
     0.000 |      0.002 |    339,699,088 |  1,382,500 |   0.000000 | LISA::TEST-AGAINST-LEFT-MEMORY
     0.000 |      0.000 |        262,096 |     68,500 |   0.000000 | LISA::RETE-HALTED
     0.000 |      0.000 |    106,090,896 |    108,000 |   0.000000 | LISA::ADD-TOKEN-TO-NETWORK
     0.000 |      0.000 |              0 |      7,000 |   0.000000 | LISA::FACT-META-DATA
     0.000 |      0.000 |      6,815,728 |    293,500 |   0.000000 | LISA::FACT-SLOT-TABLE
     0.000 |      0.000 |     28,570,832 |     58,000 |   0.000000 | LISA::ADJUST-BELIEF
     0.000 |      0.000 |         65,536 |        500 |   0.000000 | LISA::RESET-ENGINE
     0.000 |      0.000 |      6,880,624 |     58,000 |   0.000000 | LISA::DUPLICATE-FACT-P
     0.000 |      0.000 |     49,146,800 |     58,000 |   0.000000 | LISA::ASSERT-FACT-AUX
     0.000 |      0.000 |     39,645,200 |        500 |   0.000000 | LISA::RUN-ENGINE
     0.000 |      0.000 |              0 |     21,000 |   0.000000 | LISA::RULE-LOGICAL-MARKER
     0.000 |      0.000 |     35,969,056 |     28,500 |   0.000000 | LISA::MAKE-FACT
     0.000 |      0.004 |     51,438,288 |  1,535,500 |   0.000000 | LISA::SHARED-NODE-SUCCESSORS
     0.000 |      0.000 |      2,228,224 |        500 |   0.000000 | LISA::RESET-NETWORK
     0.000 |      0.000 |              0 |        500 |   0.000000 | LISA::SET-INITIAL-STATE
     0.000 |      0.000 |              0 |        500 |   0.000000 | LISA::CLEAR-CONTEXTS
     0.000 |      0.008 |    333,547,168 |  1,419,500 |   0.000000 | LISA::ACCEPT-TOKEN-FROM-RIGHT
     0.000 |      0.000 |      2,359,264 |    107,500 |   0.000000 | LISA::FACT-SHADOWSP
     0.000 |      0.000 |      2,097,152 |     40,500 |   0.000000 | LISA::RETE-FIRING-COUNT
     0.000 |      0.000 |        196,560 |     41,000 |   0.000000 | (SETF LISA::RETE-FIRING-COUNT)
     0.000 |      0.000 |      9,698,240 |    313,500 |   0.000000 | LISA::JOIN-NODE-LOGICAL-BLOCK
     0.000 |      0.002 |     36,434,448 |    247,000 |   0.000000 | LISA::PASS-TOKENS-ON-LEFT
     0.000 |      0.006 |    113,693,120 |    636,000 |   0.000000 | LISA::REMOVE-TOKEN-FROM-RIGHT-MEMORY
     0.000 |      0.000 |     19,118,768 |     28,500 |   0.000000 | LISA::INITIALIZE-FACT-FROM-TEMPLATE
     0.000 |      0.004 |    187,150,688 |    592,500 |   0.000000 | LISA::CALL-SUCCESSOR
     0.000 |      0.000 |     36,761,952 |    135,000 |   0.000000 | LISA::ADD-ACTIVATION
     0.000 |      0.000 |      5,045,872 |     49,500 |   0.000000 | LISA::REMOVE-FACT-FROM-NETWORK
     0.000 |      0.000 |    164,212,000 |    592,500 |   0.000000 | LISA::PASS-TOKENS-TO-SUCCESSOR
     0.000 |      0.000 |      2,818,016 |    401,500 |   0.000000 | LISA::PATTERN-BINDING-P
     0.000 |      0.079 |  2,771,224,128 |  1,535,500 |   0.000000 | LISA::PASS-TOKEN-TO-SUCCESSORS
     0.000 |      0.000 |      2,424,816 |     50,500 |   0.000000 | LISA::TOKEN-FACTS
     0.000 |      0.000 |      3,146,544 |     67,500 |   0.000000 | LISA::BIND-RULE-ACTIVATION
-----------------------------------------------------------------
     1.835 |      0.419 | 10,282,196,432 | 62,110,000 |            | Total

estimated total profiling overhead: 56.97 seconds
overhead estimation parameters:
  1.2526e-8s/call, 9.1732e-7s total profiling, 4.28108e-7s internal profiling

These functions were not called:
 LISA::%MAKE-BINDING LISA::ACQUIRE-META-DATA LISA::ACTIVATION-FACT-LIST
 LISA::ACTIVE-ENGINE LISA:ACTIVE-NETWORK LISA::ACTIVE-TOKENS
 LISA::ADD-AUTOFACT LISA::ADD-INTER-PATTERN-NODES
 LISA::ADD-INTRA-PATTERN-NODES LISA::ADD-JOIN-NODE-TESTS
 LISA::ADD-LOGICAL-DEPENDENCY LISA::ADD-NODE-SET
 LISA::ADD-RULE-TO-CONTEXT LISA::ADD-RULE-TO-NETWORK LISA::ADD-SUCCESSOR
 LISA::ADD-TERMINAL-NODE LISA:AGENDA LISA:ALLOW-DUPLICATE-FACTS
 LISA:ASSERT-INSTANCE LISA::ATTACH-RULE-NODES
 LISA::BIND-LOGICAL-DEPENDENCIES (SETF LISA::BINDING-ADDRESS)
 LISA::BINDING-ADDRESS (SETF LISA::BINDING-SLOT-NAME)
 LISA::BINDING-SLOT-NAME (SETF LISA::BINDING-VARIABLE)
