measuring PROFILE overhead..done
  seconds  |     gc     |     consed    |    calls   |  sec/call  |  name  
     0.000 |      0.000 |             0 |     90,600 |   0.000000 | LISA:ACTIVE-RULE
     0.000 |      0.000 |           144 |     12,000 |   0.000000 | LISA:RETRACT
     0.000 |      0.000 |             0 |        300 |   0.000000 | LISA:RUN
     0.000 |      0.000 |    39,320,288 |    174,900 |   0.000000 | LISA::ADD-TOKENS-TO-LEFT-MEMORY
     0.000 |      0.000 |     7,928,672 |     17,100 |   0.000000 | LISA::FIND-META-FACT
     0.000 |      0.000 |    11,926,560 |     34,800 |   0.000000 | LISA::REMEMBER-FACT
     0.000 |      0.004 |   165,726,064 |    298,200 |   0.000000 | LISA::TEST-AGAINST-RIGHT-MEMORY
     0.000 |      0.000 |     7,667,712 |    117,600 |   0.000000 | LISA::ACTIVATION-TIMESTAMP
     0.000 |      0.000 |     4,063,200 |     40,500 |   0.000000 | LISA::UNBIND-RULE-ACTIVATION
     0.000 |      0.000 |        65,632 |     12,900 |   0.000000 | LISA::ENSURE-META-DATA-EXISTS
     0.000 |      0.000 |             0 |     34,800 |   0.000000 | LISA::RETE-NEXT-FACT-ID
     0.000 |      0.000 |    23,654,096 |     76,800 |   0.000000 | LISA::SET-SLOT-VALUE
     0.000 |      0.004 |    82,699,808 |    555,600 |   0.000000 | LISA::FORGET-TOKEN
     0.000 |      0.000 |     3,997,584 |     29,700 |   0.000000 | LISA::RETRACT-FACT
     0.000 |      0.000 |    15,661,184 |     24,300 |   0.000000 | LISA::FIRE-ACTIVATION
     0.000 |      0.002 |   102,156,224 |    371,100 |   0.000000 | LISA::ACCEPT-TOKENS-FROM-LEFT
     0.000 |      0.000 |             0 |        600 |   0.000000 | LISA::RESET-FOCUS-STACK
     0.000 |      0.000 |     4,128,928 |     17,700 |   0.000000 | LISA::MODIFY-FACT
     0.000 |      0.000 |       131,440 |     29,700 |   0.000000 | LISA::FORGET-FACT
     0.000 |      0.000 |    43,809,440 |     24,300 |   0.000000 | LISA::FIRE-RULE
     0.000 |      0.000 |    15,659,536 |     40,800 |   0.000000 | LISA::GET-NEXT-ACTIVATION
     0.000 |      0.004 |    67,037,264 |    622,800 |   0.000000 | LISA::REMEMBER-TOKEN
     0.000 |      0.000 |    23,786,784 |    121,800 |   0.000000 | LISA::CONFLICT-SET
     0.000 |      0.000 |     4,521,776 |      4,200 |   0.000000 | LISA::MAKE-FACT-FROM-TEMPLATE
     0.000 |      0.008 |   739,376,704 |  1,569,300 |   0.000000 | LISA::ACCEPT-TOKEN
     0.000 |      0.000 |     4,849,568 |     34,800 |   0.000000 | LISA::ASSERT-FACT
     0.000 |      0.000 |             0 |     40,500 |   0.000000 | LISA::RULE-AUTO-FOCUS
     0.000 |      0.004 |    63,891,696 |    851,700 |   0.000000 | LISA::PASS-TOKEN-ON-RIGHT
     0.000 |      0.000 |             0 |        600 |   0.000000 | LISA::INITIAL-CONTEXT
     0.000 |      0.000 |     7,797,840 |     81,600 |   0.000000 | LISA::CONTEXT-STRATEGY
     0.000 |      0.000 |     7,862,448 |    300,000 |   0.000000 | LISA::ACTIVATION-RULE
     0.000 |      0.000 |   114,218,000 |    333,300 |   0.000000 | LISA::COMBINE-TOKENS
     0.000 |      0.004 |   130,304,560 |    206,400 |   0.000000 | LISA::MAKE-REMOVE-TOKEN
     0.000 |      0.000 |    31,779,856 |     40,500 |   0.000000 | LISA::INSERT-ACTIVATION
     0.000 |      0.002 |     7,995,392 |    355,500 |   0.000000 | LISA::JOIN-NODE-SUCCESSOR
     0.000 |      0.006 |   137,415,760 |    447,900 |   0.000000 | LISA::ADD-TOKEN-TO-RIGHT-MEMORY
     0.000 |      0.000 |    15,725,760 |     82,800 |   0.000000 | LISA::FIND-ACTIVATION-BINDING
     0.000 |      0.000 |       131,056 |     34,800 |   0.000000 | LISA::ADD-FACT-TO-NETWORK
     0.000 |      0.000 |    24,244,960 |    174,000 |   0.000000 | LISA::REMOVE-TOKENS-FROM-LEFT-MEMORY
     0.000 |      0.000 |             0 |        300 |   0.000000 | LISA::ASSERT-AUTOFACTS
     0.000 |      0.000 |             0 |     16,200 |   0.000000 | LISA::DISABLE-ACTIVATION
     0.000 |      0.000 |     3,865,680 |     40,800 |   0.000000 | LISA::NEXT-ACTIVATION
     0.000 |      0.000 |     3,931,200 |     24,300 |   0.000000 | LISA::ACTIVATION-TOKENS
     0.000 |      0.006 |   189,770,480 |    829,500 |   0.000000 | LISA::TEST-AGAINST-LEFT-MEMORY
     0.000 |      0.023 | 1,366,942,784 |  1,420,800 |   0.000000 | LISA::REPLICATE-TOKEN
     0.000 |      0.000 |             0 |        600 |   0.000000 | (SETF LISA::RETE-HALTED)
     0.000 |      0.000 |    62,973,776 |     64,800 |   0.000000 | LISA::ADD-TOKEN-TO-NETWORK
     0.000 |      0.000 |             0 |      4,200 |   0.000000 | LISA::FACT-META-DATA
     0.000 |      0.000 |    21,783,456 |     34,800 |   0.000000 | LISA::ADJUST-BELIEF
     0.000 |      0.000 |     8,059,952 |    334,800 |   0.000000 | LISA::FACT-CLOS-INSTANCE
     0.000 |      0.000 |        65,824 |        300 |   0.000000 | LISA::RESET-ENGINE
     0.000 |      0.000 |     4,063,280 |     34,800 |   0.000000 | LISA::DUPLICATE-FACT-P
     0.000 |      0.000 |     4,455,312 |     34,800 |   0.000000 | LISA::ASSERT-FACT-AUX
     0.000 |      0.000 |    39,383,264 |        300 |   0.000000 | LISA::RUN-ENGINE
     0.000 |      0.000 |    20,689,200 |     17,100 |   0.000000 | LISA::MAKE-FACT
     0.000 |      0.000 |             0 |        300 |   0.000000 | LISA::RESET-NETWORK
     0.000 |      0.000 |             0 |        300 |   0.000000 | LISA::SET-INITIAL-STATE
     0.000 |      0.000 |        65,344 |        300 |   0.000000 | LISA::CLEAR-CONTEXTS
     0.000 |      0.002 |   173,584,336 |    851,700 |   0.000000 | LISA::ACCEPT-TOKEN-FROM-RIGHT
     0.000 |      0.000 |             0 |     64,500 |   0.000000 | LISA::FACT-SHADOWSP
     0.000 |      0.000 |        65,520 |     24,300 |   0.000000 | LISA::RETE-FIRING-COUNT
     0.000 |      0.000 |             0 |     24,600 |   0.000000 | (SETF LISA::RETE-FIRING-COUNT)
     0.000 |      0.000 |    15,923,296 |    148,200 |   0.000000 | LISA::PASS-TOKENS-ON-LEFT
     0.000 |      0.000 |    71,558,272 |    381,600 |   0.000000 | LISA::REMOVE-TOKEN-FROM-RIGHT-MEMORY
     0.000 |      0.000 |    11,424,000 |     17,100 |   0.000000 | LISA::INITIALIZE-FACT-FROM-TEMPLATE
     0.000 |      0.004 |   110,546,128 |    355,500 |   0.000000 | LISA::CALL-SUCCESSOR
     0.000 |      0.000 |    19,856,880 |     81,000 |   0.000000 | LISA::ADD-ACTIVATION
     0.000 |      0.002 |     7,995,344 |     29,700 |   0.000000 | LISA::REMOVE-FACT-FROM-NETWORK
     0.000 |      0.000 |    82,958,032 |    355,500 |   0.000000 | LISA::PASS-TOKENS-TO-SUCCESSOR
     0.000 |      0.002 |   864,260,720 |    921,300 |   0.000000 | LISA::PASS-TOKEN-TO-SUCCESSORS
     0.000 |      0.000 |    11,860,784 |     40,500 |   0.000000 | LISA::BIND-RULE-ACTIVATION
----------------------------------------------------------------
     2.089 |      0.313 | 8,172,790,720 | 52,861,215 |            | Total

estimated total profiling overhead: 48.91 seconds
overhead estimation parameters:
  1.3376001e-8s/call, 9.25234e-7s total profiling, 4.27478e-7s internal profiling

These functions were not called:
 LISA::%MAKE-BINDING LISA::ACTIVATION-FACT-LIST LISA::ACTIVE-ENGINE
 LISA:ACTIVE-NETWORK LISA::ACTIVE-TOKENS LISA::ADD-AUTOFACT
 LISA::ADD-INTER-PATTERN-NODES LISA::ADD-INTRA-PATTERN-NODES
 LISA::ADD-JOIN-NODE-TESTS LISA::ADD-LOGICAL-DEPENDENCY
 LISA::ADD-NODE-SET LISA::ADD-RULE-TO-CONTEXT LISA::ADD-RULE-TO-NETWORK
 LISA::ADD-SUCCESSOR LISA::ADD-TERMINAL-NODE LISA:AGENDA
 LISA:ALLOW-DUPLICATE-FACTS LISA:ASSERT-INSTANCE LISA::ATTACH-RULE-NODES
 LISA::BIND-LOGICAL-DEPENDENCIES (SETF LISA::BINDING-ADDRESS)
 LISA::BINDING-ADDRESS (SETF LISA::BINDING-SLOT-NAME)
 LISA::BINDING-SLOT-NAME (SETF LISA::BINDING-VARIABLE)
 LISA::BINDING-VARIABLE LISA::BOUND-PATTERN-P
 LISA::BUILD-LAMBDA-EXPRESSION LISA:CLEAR LISA::CLEAR-CONTEXT
 LISA::CLEAR-ENVIRONMENT-HANDLERS LISA::CLEAR-FOCUS-STACK
 LISA::CLEAR-NODE-TEST-TABLE LISA::CLEAR-SYSTEM-ENVIRONMENT
 LISA::COLLECT-BINDINGS LISA::COLLECT-CONSTRAINT-BINDINGS
 LISA::COMPILE-RULE LISA::COMPILE-RULE-BEHAVIOR
 LISA::COMPILE-RULE-INTO-NETWORK LISA::COMPOUND-PATTERN-P
 LISA:CONSIDER-TAXONOMY LISA::CONSTRAINED-SLOT-P
 LISA::CONTEXT-ACTIVATION-LIST LISA:CONTEXT-NAME LISA::CONTEXT-RULE-LIST
 LISA::CONTEXT-RULES LISA:CONTEXTS LISA::COPY-BINDING
 LISA::COPY-FACT-META-OBJECT LISA::COPY-NETWORK
 LISA::COPY-NODE-TEST-TABLE LISA::COPY-PARSED-PATTERN
 LISA::COPY-PATTERN-SLOT LISA::COPY-RULE LISA::COPY-RULE-ACTIONS
 LISA::CREATE-TEMPLATE-CLASS-SLOTS LISA::CURRENT-CONTEXT
 LISA::DECREMENT-USE-COUNT LISA::DEFFACTS-NAME LISA::DEFINE-RULE
 LISA:DEPENDENCIES LISA::DISTRIBUTE-TOKEN
 LISA::DUPLICATE-FACT-EXISTING-FACT LISA:ENGINE
 LISA::ENTER-JOIN-NETWORK-FROM-LEFT LISA::ENTER-JOIN-NETWORK-FROM-RIGHT
 LISA::EQUALS LISA::EXISTENTIAL-PATTERN-P LISA::EXPAND-SLOTS
 LISA::EXTRACT-RULE-HEADERS (SETF LISA::FACT-ID-TABLE)
 (SETF LISA::FACT-META-OBJECT-CLASS-NAME)
 LISA::FACT-META-OBJECT-CLASS-NAME LISA::FACT-META-OBJECT-P
 (SETF LISA::FACT-META-OBJECT-SLOT-LIST)
 LISA::FACT-META-OBJECT-SLOT-LIST
 (SETF LISA::FACT-META-OBJECT-SUPERCLASSES)
 LISA::FACT-META-OBJECT-SUPERCLASSES LISA::FACT-SYMBOLIC-ID LISA:FACTS
 LISA::FIND-ACTIVATION LISA::FIND-ALL-ACTIVATIONS
 LISA::FIND-ANY-LOGICAL-BOUNDARIES LISA::FIND-CONDITIONAL-ELEMENT-PARSER
 LISA::FIND-EXISTING-SUCCESSOR LISA:FIND-FACT-BY-ID
 LISA:FIND-FACT-BY-NAME LISA::FIND-FACT-USING-INSTANCE
 LISA::FIND-LOGICAL-DEPENDENCIES LISA::FIND-OR-SET-SLOT-BINDING
 LISA:FIND-RULE LISA::FIND-RULE-IN-CONTEXT LISA::FIND-SLOT-BINDING
 LISA::FIND-TEST LISA:FOCUS LISA:FOCUS-STACK LISA::FORGET-CLOS-INSTANCE
 LISA::FORGET-CLOS-INSTANCES LISA::FORGET-CONTEXT LISA::FORGET-RULE
 LISA::GENERIC-PATTERN-P LISA::GET-ACTIVATION-LIST
 LISA::GET-ALL-ACTIVATIONS LISA::GET-FACT-LIST LISA::GET-RULE-LIST
 LISA::GET-SLOT-VALUES LISA::GET-SUPERCLASSES LISA:HALT
