measuring PROFILE overhead..done
  seconds  |     gc     |     consed    |    calls   |  sec/call  |  name  
     0.000 |      0.000 |     1,048,320 |      4,200 |   0.000000 | LISA::MAKE-FACT-FROM-TEMPLATE
     0.000 |      0.000 |             0 |     41,100 |   0.000000 | LISA::ACTIVE-CONTEXT
     0.000 |      0.000 |       589,760 |     93,000 |   0.000000 | LISA::TOKEN-NOT-COUNTER
     0.000 |      0.000 |        65,520 |     42,900 |   0.000000 | (SETF LISA::TOKEN-NOT-COUNTER)
     0.000 |      0.000 |    17,301,056 |     34,800 |   0.000000 | LISA::ASSERT-FACT
     0.000 |      0.000 |             0 |        900 |   0.000000 | LISA::RETE-FOCUS-STACK
     0.000 |      0.000 |             0 |        900 |   0.000000 | (SETF LISA::RETE-FOCUS-STACK)
     0.000 |      0.000 |     2,031,008 |     40,500 |   0.000000 | LISA::UNBIND-RULE-ACTIVATION
     0.000 |      0.008 |    35,908,944 |    851,700 |   0.000000 | LISA::PASS-TOKEN-ON-RIGHT
     0.000 |      0.000 |             0 |        600 |   0.000000 | LISA::INITIAL-CONTEXT
     0.000 |      0.000 |       589,744 |     81,600 |   0.000000 | LISA::CONTEXT-STRATEGY
     0.000 |      0.008 |    64,091,984 |    206,400 |   0.000000 | LISA::MAKE-REMOVE-TOKEN
     0.000 |      0.000 |    36,371,872 |     40,500 |   0.000000 | LISA::INSERT-ACTIVATION
     0.000 |      0.006 |    95,606,128 |    447,900 |   0.000000 | LISA::ADD-TOKEN-TO-RIGHT-MEMORY
     0.000 |      0.002 |     3,539,264 |     82,800 |   0.000000 | LISA::FIND-ACTIVATION-BINDING
     0.000 |      0.000 |       458,752 |     34,800 |   0.000000 | LISA::ADD-FACT-TO-NETWORK
     0.000 |      0.000 |    40,890,976 |    174,000 |   0.000000 | LISA::REMOVE-TOKENS-FROM-LEFT-MEMORY
     0.000 |      0.000 |       131,072 |        300 |   0.000000 | LISA::ASSERT-AUTOFACTS
     0.000 |      0.000 |       393,552 |     16,200 |   0.000000 | LISA::DISABLE-ACTIVATION
     0.000 |      0.000 |     1,114,288 |     40,800 |   0.000000 | LISA::NEXT-ACTIVATION
     0.000 |      0.002 |   214,371,216 |    829,500 |   0.000000 | LISA::TEST-AGAINST-LEFT-MEMORY
     0.000 |      0.000 |    72,017,280 |     64,800 |   0.000000 | LISA::ADD-TOKEN-TO-NETWORK
     0.000 |      0.000 |     8,023,760 |     34,800 |   0.000000 | LISA::ADJUST-BELIEF
     0.000 |      0.000 |     3,145,296 |    334,800 |   0.000000 | LISA::FACT-CLOS-INSTANCE
     0.000 |      0.000 |             0 |        300 |   0.000000 | LISA::RESET-ENGINE
     0.000 |      0.000 |     2,817,728 |     34,800 |   0.000000 | LISA::DUPLICATE-FACT-P
     0.000 |      0.000 |    18,411,904 |     34,800 |   0.000000 | LISA::ASSERT-FACT-AUX
     0.000 |      0.000 |     3,932,272 |        300 |   0.000000 | LISA::RUN-ENGINE
     0.000 |      0.000 |    11,368,128 |     17,100 |   0.000000 | LISA::MAKE-FACT
     0.000 |      0.002 |    37,478,080 |    921,300 |   0.000000 | LISA::SHARED-NODE-SUCCESSORS
     0.000 |      0.000 |    96,846,336 |    333,300 |   0.000000 | LISA::COMBINE-TOKENS
     0.000 |      0.000 |             0 |        300 |   0.000000 | LISA::RESET-NETWORK
     0.000 |      0.000 |             0 |        300 |   0.000000 | LISA::SET-INITIAL-STATE
     0.000 |      0.000 |             0 |        300 |   0.000000 | LISA::CLEAR-CONTEXTS
     0.000 |      0.000 |   180,325,696 |    851,700 |   0.000000 | LISA::ACCEPT-TOKEN-FROM-RIGHT
     0.000 |      0.000 |       458,720 |     64,500 |   0.000000 | LISA::FACT-SHADOWSP
     0.000 |      0.000 |       393,216 |     24,300 |   0.000000 | LISA::RETE-FIRING-COUNT
     0.000 |      0.000 |             0 |     24,600 |   0.000000 | (SETF LISA::RETE-FIRING-COUNT)
     0.000 |      0.000 |    19,525,360 |    148,200 |   0.000000 | LISA::PASS-TOKENS-ON-LEFT
     0.000 |      0.000 |             0 |        900 |   0.000000 | LISA::RETE-CONTEXTS
     0.000 |      0.000 |    29,891,632 |    381,600 |   0.000000 | LISA::REMOVE-TOKEN-FROM-RIGHT-MEMORY
     0.000 |      0.000 |     6,083,504 |     17,100 |   0.000000 | LISA::INITIALIZE-FACT-FROM-TEMPLATE
     0.000 |      0.002 |   102,156,000 |    355,500 |   0.000000 | LISA::CALL-SUCCESSOR
     0.000 |      0.002 |    36,364,304 |     81,000 |   0.000000 | LISA::ADD-ACTIVATION
     0.000 |      0.000 |     1,114,176 |     29,700 |   0.000000 | LISA::REMOVE-FACT-FROM-NETWORK
     0.000 |      0.002 |    99,995,232 |    355,500 |   0.000000 | LISA::PASS-TOKENS-TO-SUCCESSOR
     0.000 |      0.000 |     1,245,136 |    240,900 |   0.000000 | LISA::PATTERN-BINDING-P
     0.000 |      0.002 |   938,828,320 |    921,300 |   0.000000 | LISA::PASS-TOKEN-TO-SUCCESSORS
     0.000 |      0.000 |       458,640 |     30,300 |   0.000000 | LISA::TOKEN-FACTS
     0.000 |      0.000 |     2,948,720 |     40,500 |   0.000000 | LISA::BIND-RULE-ACTIVATION
----------------------------------------------------------------
     2.069 |      0.290 | 7,594,129,392 | 48,329,715 |            | Total

estimated total profiling overhead: 45.17 seconds
overhead estimation parameters:
  1.104e-8s/call, 9.3468594e-7s total profiling, 4.34868e-7s internal profiling

These functions were not called:
 LISA::%MAKE-BINDING LISA::ACTIVATION-FACT-LIST LISA::ACTIVE-ENGINE
 LISA:ACTIVE-NETWORK LISA::ACTIVE-TOKENS LISA::ADD-AUTOFACT
 LISA::ADD-INTER-PATTERN-NODES LISA::ADD-INTRA-PATTERN-NODES
 LISA::ADD-JOIN-NODE-TESTS LISA::ADD-LOGICAL-DEPENDENCY
 LISA::ADD-NODE-SET LISA::ADD-RULE-TO-CONTEXT LISA::ADD-RULE-TO-NETWORK
 LISA::ADD-SUCCESSOR LISA::ADD-TERMINAL-NODE LISA:AGENDA
 LISA:ALLOW-DUPLICATE-FACTS LISA:ASSERT-INSTANCE LISA::ATTACH-RULE-NODES
 LISA::BIND-LOGICAL-DEPENDENCIES (SETF LISA::BINDING-ADDRESS)
 LISA::BINDING-ADDRESS (SETF LISA::BINDING-SLOT-NAME)
 LISA::BINDING-SLOT-NAME (SETF LISA::BINDING-VARIABLE)
 LISA::BINDING-VARIABLE LISA::BOUND-PATTERN-P
 LISA::BUILD-LAMBDA-EXPRESSION LISA:CLEAR LISA::CLEAR-CONTEXT
 LISA::CLEAR-ENVIRONMENT-HANDLERS LISA::CLEAR-FOCUS-STACK
 LISA::CLEAR-NODE-TEST-TABLE LISA::CLEAR-SYSTEM-ENVIRONMENT
 LISA::COLLECT-BINDINGS LISA::COLLECT-CONSTRAINT-BINDINGS
 LISA::COMPILE-RULE LISA::COMPILE-RULE-BEHAVIOR
 LISA::COMPILE-RULE-INTO-NETWORK LISA::COMPOUND-PATTERN-P
 LISA:CONSIDER-TAXONOMY LISA::CONSTRAINED-SLOT-P
 LISA::CONTEXT-ACTIVATION-LIST LISA:CONTEXT-NAME LISA::CONTEXT-RULE-LIST
 LISA::CONTEXT-RULES LISA:CONTEXTS LISA::COPY-BINDING
 LISA::COPY-FACT-META-OBJECT LISA::COPY-NETWORK
 LISA::COPY-NODE-TEST-TABLE LISA::COPY-PARSED-PATTERN
 LISA::COPY-PATTERN-SLOT LISA::COPY-RULE LISA::COPY-RULE-ACTIONS
 LISA::CREATE-TEMPLATE-CLASS-SLOTS LISA::CURRENT-CONTEXT
 LISA::DECREMENT-USE-COUNT LISA::DEFFACTS-NAME LISA::DEFINE-RULE
 LISA:DEPENDENCIES LISA::DISTRIBUTE-TOKEN
 LISA::DUPLICATE-FACT-EXISTING-FACT LISA:ENGINE
 LISA::ENTER-JOIN-NETWORK-FROM-LEFT LISA::ENTER-JOIN-NETWORK-FROM-RIGHT
 LISA::EQUALS LISA::EXISTENTIAL-PATTERN-P LISA::EXPAND-SLOTS
 LISA::EXTRACT-RULE-HEADERS (SETF LISA::FACT-ID-TABLE)
 (SETF LISA::FACT-META-OBJECT-CLASS-NAME)
 LISA::FACT-META-OBJECT-CLASS-NAME LISA::FACT-META-OBJECT-P
 (SETF LISA::FACT-META-OBJECT-SLOT-LIST)
 LISA::FACT-META-OBJECT-SLOT-LIST
 (SETF LISA::FACT-META-OBJECT-SUPERCLASSES)
 LISA::FACT-META-OBJECT-SUPERCLASSES LISA::FACT-SYMBOLIC-ID LISA:FACTS
 LISA::FIND-ACTIVATION LISA::FIND-ALL-ACTIVATIONS
 LISA::FIND-ANY-LOGICAL-BOUNDARIES LISA::FIND-CONDITIONAL-ELEMENT-PARSER
 LISA::FIND-EXISTING-SUCCESSOR LISA:FIND-FACT-BY-ID
 LISA:FIND-FACT-BY-NAME LISA::FIND-FACT-USING-INSTANCE
 LISA::FIND-LOGICAL-DEPENDENCIES LISA::FIND-OR-SET-SLOT-BINDING
 LISA:FIND-RULE LISA::FIND-RULE-IN-CONTEXT LISA::FIND-SLOT-BINDING
 LISA::FIND-TEST LISA:FOCUS LISA:FOCUS-STACK LISA::FORGET-CLOS-INSTANCE
 LISA::FORGET-CLOS-INSTANCES LISA::FORGET-CONTEXT LISA::FORGET-RULE
 LISA::GENERIC-PATTERN-P LISA::GET-ACTIVATION-LIST
 LISA::GET-ALL-ACTIVATIONS LISA::GET-FACT-LIST LISA::GET-RULE-LIST
 LISA::GET-SLOT-VALUES LISA::GET-SUPERCLASSES LISA:HALT
 LISA::HAS-SUPERCLASS LISA::IMPORT-CLASS-SPECIFICATION LISA::INACTIVE-P
 LISA::INCREMENT-USE-COUNT LISA::INITIAL-CONTEXT-P
 LISA::INITIALIZE-FACT-FROM-INSTANCE LISA::INTRA-PATTERN-BINDINGS-P
 LISA::INTRA-PATTERN-SLOT-P LISA::JOIN-NODE-ADD-TEST
 (SETF LISA::JOIN-NODE-SUCCESSOR) (SETF LISA::JOIN-NODE-TESTS)
 LISA::JOIN-NODE-TESTS LISA::LEAF-NODE LISA::LEFT-INPUT
 LISA::LEFT-MEMORY-COUNT LISA::LIST-ACTIVATIONS LISA::LOCATION
 LISA:LOGGER-ADD-FILE-APPENDER LISA::LOGICAL-BLOCK-MARKER
